,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,,,,
,WEEK OF: 10.19-10.23,,68.0,,68.0,,30.0,,,,,,
,Snacks,Sell
Price,10.19.15,10.19.15,10.21.15,10.21.15,10.23.15,10.23.15,END OF WEEK TOTALS,,,,
SKU,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,3.0,0.0,3.0,0.0,2.0,0.0,,8.0,0.0,1.0,0.0
1902.0,,,3.0,0.0,3.0,2.0,1.0,1.0,,4.0,3.0,0.571428571429,0.428571428571
1896.0,,,3.0,0.0,3.0,2.0,1.0,1.0,,4.0,3.0,0.571428571429,0.428571428571
1911.0,,,3.0,1.0,3.0,0.0,2.0,2.0,,5.0,3.0,0.625,0.375
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,12.0,1.0,12.0,4.0,6.0,4.0,,,,,
,Sandwiches,Price,10.19.15,10.19.15,10.21.15,10.21.15,10.23.15,10.23.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1805.0,,,4.0,0.0,4.0,1.0,2.0,2.0,,7.0,3.0,0.7,0.3
1809.0,,,4.0,0.0,4.0,0.0,2.0,0.0,,10.0,0.0,1.0,0.0
1812.0,,,4.0,0.0,4.0,0.0,2.0,0.0,,10.0,0.0,1.0,0.0
1817.0,,,4.0,1.0,4.0,0.0,2.0,0.0,,9.0,1.0,0.9,0.1
1793.0,,,5.0,0.0,5.0,1.0,2.0,1.0,,10.0,2.0,0.833333333333,0.166666666667
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SANDWICHES,,21.0,1.0,21.0,2.0,10.0,3.0,,,,,
,Wraps,Price,10.19.15,10.19.15,10.21.15,10.21.15,10.23.15,10.23.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1841.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
1859.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
1855.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
1828.0,,,3.0,0.0,3.0,1.0,1.0,0.0,,6.0,1.0,0.857142857143,0.142857142857
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL WRAPS,,12.0,0.0,12.0,1.0,4.0,0.0,,,,,
,Salads,Price,10.19.15,10.19.15,10.21.15,10.21.15,10.23.15,10.23.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1875.0,,,4.0,0.0,4.0,3.0,2.0,2.0,,5.0,5.0,0.5,0.5
1877.0,,,4.0,0.0,4.0,0.0,2.0,1.0,,9.0,1.0,0.9,0.1
1887.0,,,4.0,2.0,4.0,2.0,2.0,1.0,,5.0,5.0,0.5,0.5
1872.0,,,5.0,1.0,5.0,4.0,2.0,2.0,,5.0,7.0,0.416666666667,0.583333333333
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SALADS,,17.0,3.0,17.0,9.0,8.0,6.0,,,,,
,Entrees,Price,10.19.15,10.19.15,10.21.15,10.21.15,10.23.15,10.23.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1945.0,,,3.0,0.0,3.0,1.0,1.0,0.0,,6.0,1.0,0.857142857143,0.142857142857
1944.0,,,3.0,0.0,3.0,0.0,1.0,0.0,,7.0,0.0,1.0,0.0
,Vegetable Pesto Lasagna ,,,,,,,,,,,,
,Pan seared chicken breast ,,,,,,,,,,,,
,TOTAL ENTREES,,6.0,,6.0,,2.0,,,,,,
,Total ITEMS WASTED,,,5.0,,16.0,,13.0,,,,,
,TOTAL ITEMS DELIVERED,,68.0,,68.0,,30.0,,,,,,
***USE NEW CMU PANTRY LAB LABELS***,,,,,,,,,,,,,
