1910,6,6,50.0,50.0
1906,1,4,20.0,80.0
1720,5,1,83.3333333333,16.6666666667
1702,0,5,0.0,100.0
1805,1,4,20.0,80.0
1809,2,3,40.0,60.0
1812,2,3,40.0,60.0
1816,1,4,20.0,80.0
1792,2,2,50.0,50.0
1765,3,0,100.0,0.0
1837,2,1,66.6666666667,33.3333333333
1838,3,0,100.0,0.0
1858,1,2,33.3333333333,66.6666666667
1853,2,1,66.6666666667,33.3333333333
1828,1,2,33.3333333333,66.6666666667
1880,2,2,50.0,50.0
1882,5,0,100.0,0.0
1894,0,5,0.0,100.0
1943,2,1,66.6666666667,33.3333333333
1945,2,1,66.6666666667,33.3333333333
