1770,"""Protein Zone"" Breakfast Egg White Wrap",Breakfast,meat,med,yes,yes
1771,"""The Italian"" Breakfast Burrito",Breakfast,meat,med,yes,yes
1837,16 Spiced Rubbed BBQ Brisket Wrap,Wrap,meat,med,yes,yes
2824,Almost Classic Bologna Sandwich,Sandwich,vegetable,med,yes,no
1772,Alpino Wrap,Wrap,vegetable,med,yes,yes
1902,Anti Pasta Platter,Anytime,meat,low,yes,no
1901,Apple Turnover,Anytime,unknown,low,yes,yes
1892,Apple-Wood Smoked Bacon & Caprese Salad,Salad,meat,med,yes,no
1863,Argentina Steak Wrap,Wrap,meat,med,yes,yes
1900,Asian Noodle Salad,Salad,unknown,low,yes,no
1871,Asian Tofu Crispy Noodle Salad,Salad,vegetable,med,yes,no
1906,Assorted Cheese Display,Anytime,unknown,med,yes,no
1823,B&B Grilled Steak Sandwich,Sandwich,meat,high,yes,yes
1766,Bacon Breakfast Burrito,Breakfast,meat,med,yes,yes
1783,Bacon Cheddar Breakfast Sandwich,Breakfast,meat,med,yes,yes
1947,Bacon Cheddar Croissant Breakfast Sandwich,Breakfast,meat,med,yes,yes
1924,Bacon Fried Rice & Fried Egg,Anytime,meat,low,yes,yes
1760,Bacon Spinach & Feta Breakfast Wrap,Wrap,meat,med,yes,yes
1798,BBQ Brisket Sandwich,Sandwich,meat,high,yes,yes
1821,BBQ Chicken Banh Mi,Sandwich,meat,med,yes,yes
1799,BBQ Pulled Pork Sandwich,Sandwich,meat,high,yes,yes
1889,BBQ Ranch Grilled Chicken Salad,Salad,meat,med,yes,no
1937,Belgian Waffle,Breakfast,vegetable,med,yes,yes
1915,Black Bean Patty Huevos Rancheros,Breakfast,vegetable,low,yes,yes
1939,Blueberry Filled Buttermilk Pancakes,Breakfast,unknown,med,yes,yes
1910,Breakfast Berry & Yogurt Parfait w/ Granola,Anytime,unknown,low,yes,no
1789,Breakfast Empanada,Breakfast,unknown,med,yes,yes
1936,Buttermilk Pancakes,Breakfast,unknown,med,yes,yes
1899,Butterscotch Pudding,Anytime,unknown,low,yes,no
1861,Cajun Roasted Pork Wrap,Wrap,meat,med,yes,yes
1948,California Bacon Croissant Breakfast Sandwich,Sandwich,meat,med,yes,yes
1825,California Quinoa Vegetable Wrap,Wrap,vegetable,med,yes,yes
1934,California Turkey Bacon Eggs Benedict,Breakfast,meat,low,yes,yes
1778,California Veggie Breakfast Sandwich,Breakfast,vegetable,low,yes,yes
1890,California Waldorf Chicken Salad,Salad,meat,med,yes,no
1790,Californian Vegetarian Sandwich,Sandwich,vegetable,med,yes,yes
1920,Caprese Eggs Benedict,Breakfast,unknown,low,yes,yes
1802,Caputo's Italian Roast Beef & Pepper Sandwich,Sandwich,meat,high,yes,yes
1796,Chaat Style Curry Gobi & Chickpea Sandwich,Sandwich,vegetable,med,yes,yes
1887,Chef Chopped Salad,Salad,meat,med,yes,no
1857,Chicken Pecan Wrap,Wrap,meat,med,yes,yes
1859,Chicken Tikka Masala Wrap,Wrap,meat,med,yes,yes
1800,Chicken Waldorf Sandwich,Sandwich,meat,med,yes,yes
1838,Chili-Citrus Chicken & Avocado Wrap,Wrap,meat,med,yes,yes
1907,Chili-Lime Fruit Crudité Cup,Anytime,vegetable,low,no,no
1855,Chili-Lime Southwest Steak Wrap,Wrap,meat,med,yes,yes
1891,Chinese Chicken Salad,Salad,meat,med,yes,no
1864,Chinese Chicken Salad Wrap,Wrap,meat,med,yes,yes
1911,Chips & Pico,Anytime,unknown,low,yes,no
1768,Chorizo Green Chili Breakfast Burrito,Breakfast,unknown,med,yes,yes
1782,Chorizo Green Chili Egg Breakfast Sandwich,Breakfast,unknown,med,yes,yes
1933,Chorizo Green Chili Scramble,Breakfast,vegetable,low,yes,yes
1938,"Cinnamon French ""Texas"" Toast",Breakfast,unknown,med,yes,yes
1874,Citrus Grilled Steak Asian Spinach Salad ,Salad,meat,med,yes,no
1817,Classic BLT,Sandwich,meat,med,yes,yes
1788,Classic BLT & Egg,Sandwich,meat,med,yes,yes
1804,Classic Tuna Sandwich,Sandwich,seafood,high,yes,yes
1769,Cordon Bleu Breakfast Wrap,Wrap,meat,med,yes,yes
1761,Corn Beef Hash Breakfast Wrap,Wrap,vegetable,med,yes,yes
1932,Corned Beef & Hash Breakfast Platter ,Breakfast,meat,low,yes,yes
1875,Cosmo Bacon Spinach Salad,Salad,meat,med,yes,no
1702,Cosmo Breakfast Egg White Sandwich,Sandwich,meat,med,yes,yes
1755,Cosmo Breakfast Vegetarian Egg White Wrap,Wrap,vegetable,med,yes,yes
1814,Cosmo Crispy Chicken Sandwich,Sandwich,meat,med,yes,yes
1705,Cosmo Egg White Bowl,Breakfast,vegetable,low,yes,yes
1779,Cosmo Egg White Vegetarian Breakfast Sandwich,Breakfast,vegetable,med,yes,yes
1905,Cottage Cheese Cup,Anytime,unknown,low,yes,no
1894,Creamy Blue Cheese & Apple Wood Smoked Bacon Wedge Salad,Salad,meat,med,yes,no
1839,Crispy Buffalo Chicken Wrap,Wrap,meat,med,yes,yes
1931,Crispy Pancetta Caprese Baked Egg Casserole,Breakfast,unknown,low,yes,yes
1721,Crudité Cup,Anytime,unknown,low,yes,no
1812,Day After Thanksgiving Turkey Sandwich,Sandwich,meat,med,yes,yes
1928,Denver Scramble ,Breakfast,vegetable,low,yes,yes
1791,Egg Salad Sandwich,Sandwich,vegetable,med,yes,yes
1835,Egg Salad Wrap,Wrap,vegetable,med,yes,yes
1792,Eggplant Parmesan Caprese Sandwich,Sandwich,vegetable,med,yes,yes
1720,Fresh Fruit Cup,Anytime,unknown,low,no,no
1895,Fresh Vietnamese Spring Rolls,Anytime,unknown,low,yes,yes
1756,Green Chili & Black Bean Vegetarian Breakfast Burrito,Breakfast,vegetable,med,yes,yes
1840,Grilled Chicken Bacon Ranch Wrap ,Wrap,meat,med,yes,yes
1876,Grilled Chicken Caesar Salad,Salad,meat,med,yes,no
1841,Grilled Chicken Caesar Wrap,Wrap,meat,med,yes,yes
1865,Grilled Chicken Wedge Salad Wrap,Wrap,meat,med,yes,yes
1826,Grilled Chopped Italian Veggie Wrap,Wrap,vegetable,med,yes,yes
1854,Grilled Curry Chicken Wrap w/ Cilantro Tomato Chutney,Wrap,meat,med,yes,yes
1793,Grilled Mediterranean Veggie Hummus Sandwich,Sandwich,vegetable,med,yes,yes
1872,Grilled Mixed Vegetable Anti-Pasta Salad,Salad,vegetable,med,yes,no
1795,Grilled Portobello Torta,Sandwich,vegetable,med,yes,yes
1877,Grilled Salmon Salad,Salad,vegetable,med,yes,no
1816,Grilled Salmon Salad Sandwich ,Sandwich,unknown,high,yes,yes
1878,Grilled Steak House Salad,Salad,meat,med,yes,no
1851,Grilled Steak House Wrap,Wrap,meat,med,yes,yes
1834,Grilled Summer Vegetable Wrap,Wrap,vegetable,med,yes,yes
1842,Grilled Tandoori Chicken Wrap,Wrap,meat,med,yes,yes
1879,Grilled Teriyaki Chicken Chopped Salad,Salad,meat,med,yes,no
1853,Grilled Thai Satay Chicken Wrap,Wrap,meat,med,yes,yes
1775,Grilled Vegetable & Monterey Jack Breakfast Sandwich,Breakfast,vegetable,med,yes,yes
1753,Grilled Vegetable Taco Salad,Salad,vegetable,med,yes,no
1949,Ham & Cheddar Biscuit Breakfast Sandwich,Breakfast,meat,med,yes,yes
1785,Ham & Cheddar Breakfast Sandwich,Breakfast,meat,med,yes,yes
1763,Ham & Swiss Breakfast Wrap,Breakfast,meat,med,yes,yes
1811,Ham & Swiss Cheese Sandwich,Sandwich,meat,med,yes,yes
1787,Ham & Swiss Croissant Breakfast Sandwich,Breakfast,meat,med,yes,yes
1758,High Protein Vegan Breakfast Wrap,Breakfast,vegetable,med,yes,yes
1925,Huevos Rancheros Bowl,Breakfast,meat,low,yes,yes
1824,Hummus & Grilled Vegetable Wrap,Wrap,vegetable,med,yes,yes
1873,Italian Anti-Pasta Salad ,Salad,meat,med,yes,no
1926,Italian Breakfast Scramble,Breakfast,meat,low,yes,yes
1843,Italian Deli Wrap,Wrap,meat,med,yes,yes
1820,Jakes Italian Hoagie Rolls,Sandwich,meat,high,yes,yes
1822,Kati Sandwich,Sandwich,vegetable,med,yes,yes
1852,Korean BBQ Grilled Skirt Steak Wrap,Wrap,meat,med,yes,yes
1776,Latin Egg Torta,Sandwich,vegetable,med,yes,yes
1880,"Latin Spiced Ahi Tuna ""Niciose"" Salad",Salad,seafood,med,yes,no
1883,Lemon Pepper Grilled Shrimp Greek Salad,Salad,seafood,med,yes,no
1862,Lemongrass Beef Wrap,Wrap,vegetable,med,yes,yes
1759,Loaded Breakfast Burrito,Breakfast,meat,med,yes,yes
1856,Local Salmon Wrap,Wrap,meat,med,yes,yes
1846,Local Salmon Wrap,Wrap,meat,med,yes,yes
1942,Lox & Bagel Display,Breakfast,unknown,med,yes,yes
1904,Mediterranean Display,Anytime,vegetable,low,yes,yes
1774,Mediterranean Egg White Breakfast Sandwich,Breakfast,unknown,med,yes,yes
1830,Mediterranean Falafel Wrap,Wrap,vegetable,med,yes,yes
1844,Mediterranean Grilled Chicken Wrap,Wrap,meat,med,yes,yes
1757,Mediterranean Vegetarian Breakfast Wrap,Breakfast,vegetable,med,yes,yes
1805,New Orleans Muffaletta,Sandwich,meat,high,yes,yes
1818,Old Fashioned Meatloaf Sandwich,Sandwich,meat,med,yes,yes
1797,Pav Bhaji,Sandwich,vegetable,med,yes,yes
1784,Pepper Turkey & Cheddar Breakfast Sandwich,Sandwich,meat,med,yes,yes
1807,Pesto Chicken Caprese Sandwich,Sandwich,meat,med,yes,yes
1767,Pesto Chicken-Apple Sausage Breakfast Burrito,Breakfast,meat,med,yes,yes
1918,Portobello Mushroom Benedict,Breakfast,vegetable,low,yes,yes
1831,Potato Pea Curry Wrap,Wrap,vegetable,med,yes,yes
1832,Punjabi Cholle Masala Wrap,Wrap,vegetable,med,yes,yes
1917,Quiche Florentine,Breakfast,vegetable,low,yes,yes
1930,Quiche Lorraine,Breakfast,meat,low,yes,yes
1914,Quinoa Eggs Benedict,Breakfast,unknown,low,yes,yes
1806,Roast Beef Sandwich,Sandwich,meat,high,yes,yes
1866,Roast Beef Wrap,Wrap,meat,med,yes,yes
1819,Roasted Leg of Lamb Sandwich,Sandwich,meat,high,yes,yes
1801,Roasted Turkey Sandwich,Sandwich,meat,med,yes,yes
1881,Salad Niciose,Salad,seafood,med,yes,no
1916,Salsa Verde Grilled Veggie Breakfast Enchiladas,Breakfast,vegetable,low,yes,yes
1786,Sausage Biscuit Breakfast Sandwich,Sandwich,meat,med,yes,yes
1765,Sausage Breakfast Burrito,Breakfast,meat,med,yes,yes
1946,Sausage Cheddar Breakfast Sandwich,Breakfast,meat,med,yes,yes
1781,Sausage Cheddar Croissant Breakfast Sandwich,Breakfast,meat,med,yes,yes
1929,Scrambled Eggs Benedict,Breakfast,meat,low,yes,yes
1897,Seven layer Dip,Anytime,vegetable,low,yes,yes
1898,Shrimp Empanada,Anytime,seafood,low,yes,yes
1921,Singapore Fried Noodle,Anytime,vegetable,low,no,yes
1950,Smoked Salmon & Hard Boiled Egg Sandwich,Sandwich,seafood,med,yes,yes
1941,Smoked Trout & Bagel Display,Anytime,seafood,med,yes,yes
1913,Soup of the day,Anytime,unknown,low,no,yes
1923,Southern Biscuits & Country Gravy,Breakfast,meat,low,yes,yes
1762,Southwest Bacon Breakfast Burrito,Breakfast,meat,med,yes,yes
2653,Southwestern Chicken Wrap,Wrap,meat,med,yes,yes
1882,Southwestern Grilled Chicken Salad ,Salad,meat,med,yes,no
1828,Southwestern Grilled Vegetable Wrap,Wrap,vegetable,med,yes,yes
1754,Southwestern Vegetable Breakfast Wrap,Breakfast,vegetable,med,yes,yes
1858,Spicy Chipotle Shrimp Wrap,Wrap,seafood,med,yes,yes
1903,Steamed Edamame,Anytime,vegetable,low,no,yes
1869,Summer Vegetable & White Bean Panzanella Salad,Salad,vegetable,med,yes,no
1847,Sweet & Spicy Asian Chicken Wrap,Wrap,meat,med,yes,yes
1940,Sweet Cheese Blintzes,Anytime,unknown,med,yes,yes
1827,Sweet Potato Lentil Curry Wrap,Wrap,vegetable,med,yes,yes
1912,Tajin Cup,Anytime,vegetable,low,no,no
1860,Teriyaki Chicken Wrap,Wrap,meat,med,yes,yes
1833,Teriyaki Tofu Wrap,Wrap,seafood,med,yes,yes
1884,Thai Grilled Chicken Salad,Salad,meat,med,yes,no
1885,Thai Grilled Steak Salad,Salad,meat,med,yes,no
1829,Thai Peanut Mango Tofu Jasmine Rice Wrap,Wrap,vegetable,med,yes,yes
1813,The Cosmo Roast Beef Delight,Sandwich,meat,med,yes,yes
1815,The Cuban Sandwich,Sandwich,meat,med,yes,yes
1848,The Turkey Ruben Wrap ,Wrap,meat,med,yes,yes
1752,Three Cheese Vegetable Breakfast Burrito,Breakfast,vegetable,med,yes,yes
1943,Today's Lunch Entrée 1,Entrée,unknown,high,no,yes
1944,Today's Lunch Entrée 2,Entrée,unknown,med,no,yes
1945,Today's Vegetarian Lunch Entrée,Entrée,unknown,high,no,yes
1927,Traditional Eggs Benedict Bowl,Breakfast,meat,low,yes,yes
1870,Tropical Island Quinoa Baby Spinach Salad,Salad,vegetable,med,no,no
2825,Tuna Pesto Salad Wrap,Wrap,seafood,med,yes,no
1773,Turkey Alpino Wrap,Wrap,meat,med,yes,yes
1886,Turkey Cobb Salad,Salad,meat,med,yes,no
1849,Turkey Cobb Wrap,Wrap,meat,med,yes,yes
1809,Tuscan Grilled Chicken Sandwich,Sandwich,meat,med,yes,yes
1764,Tuscan Pancetta Breakfast Wrap,Wrap,vegetable,med,yes,yes
1777,"Vegetarian ""Sausage"" Biscuit Breakfast Sandwich",Breakfast,meat,med,yes,yes
1893,Vietnamese Vermicelli Noodle Bowl(Bun Cha),Anytime,vegetable,med,yes,no
1850,Waldorf Grilled Chicken Wrap,Wrap,meat,med,yes,yes
3084,Vegetable & White Bean Panzanella Salad,Salad,vegetable,med,yes,no
9999,Josey's Ham & Cheese Sandwich ,Sandwich,meat,med,yes,no
9998,Avocado BLT ,Sandwich ',vegetable,high,yes,no
