Chinese Chicken Salad Wrap,238908,1,late
Butterscotch Pudding,402301,1,late
16 Spiced Rubbed BBQ Brisket Wrap,373943,1,mid
Teriyaki Tofu Wrap,357108,1,mid
Teriyaki Tofu Wrap,374025,1,mid
Breakfast Berry & Yogurt Parfait w/ Granola,56712,1,mid
Grilled Mixed Vegetable Anti-Pasta Salad,401939,1,mid
Grilled Mixed Vegetable Anti-Pasta Salad,401911,1,mid
Classic BLT,239394,1,mid
Butterscotch Pudding,239394,1,mid
Chef Chopped Salad,366588,1,mid
Grilled Salmon Salad,361773,1,mid
Ham & Swiss Cheese Sandwich,106264,1,mid
Classic BLT,106133,1,mid
Cosmo Crispy Chicken Sandwich,400996,1,mid
Cosmo Bacon Spinach Salad,357108,1,mid
Classic BLT,54687,1,mid
Cosmo Bacon Spinach Salad,309610,1,early
Chef Chopped Salad,59984,1,early
Today's Vegetarian Lunch Entrée,380022,1,early
Teriyaki Tofu Wrap,399547,1,early
Today's Lunch Entree 1,380396,1,early
Today's Lunch Entree 1,54956,1,early
Mediterranean Grilled Chicken Wrap,374025,1,early
Chinese Chicken Salad Wrap,380396,1,early
Cosmo Crispy Chicken Sandwich,382557,1,early
Ham & Swiss Cheese Sandwich,399086,1,early
Mediterranean Grilled Chicken Wrap,399077,1,early
Cajun Roasted Pork Wrap,380418,1,early
Cosmo Crispy Chicken Sandwich,98750,1,early
Cottage Cheese with Mixed Berries,61620,1,mid
New Orleans Muffaletta,385335,1,early
Cottage Cheese with Mixed Berries,385333,1,early
Italian Anti-Pasta Salad,372435,1,early
Cottage Cheese with Mixed Berries,59984,1,early
Breakfast Berry & Yogurt Parfait w/ Granola,56712,1,early
Italian Anti-Pasta Salad,54895,1,early
Breakfast Berry & Yogurt Parfait w/ Granola,61620,1,early
Grilled Teriyaki Chicken Chopped Salad,383563,1,late
Classic BLT,56999,1,late
New Orleans Muffaletta,383372,1,mid
Cosmo Entree 1,357108,1,mid
Roast Beef Wrap,374025,1,mid
Today's Vegetarian Lunch Entrée,374178,1,mid
Breakfast Berry & Yogurt Parfait w/ Granola,61620,1,mid
Grilled Mediterranean Veggie Hummus Sandwich,374178,1,mid
Day After Thanksgiving Turkey Sandwich,382557,1,mid
Classic BLT,106133,1,mid
Cosmo Entree 1,70901,1,mid
Alpino Wrap,380022,1,mid
Tuscan Grilled Chicken Sandwich,366588,1,mid
Grilled Summer Vegetable Wrap,374178,1,mid
Grilled Mediterranean Veggie Hummus Sandwich,381422,1,early
Roast Beef Wrap,108748,1,early
Grilled Tandoori Chicken Wrap,309610,1,early
Teriyaki Chicken Wrap,106352,1,early
Salad Niciose,101644,1,early
Grilled Teriyaki Chicken Chopped Salad,54519,1,early
Teriyaki Chicken Wrap,131468,1,early
Grilled Summer Vegetable Wrap,380444,1,early
Alpino Wrap,380424,1,early
Day After Thanksgiving Turkey Sandwich,380418,1,early
Today's Vegetarian Lunch Entrée,380396,1,early
Tuscan Grilled Chicken Sandwich,57625,1,early
Grilled Tandoori Chicken Wrap,357108,1,early
Salad Niciose,357108,1,early
Crudité Cup,377875,1,mid
Breakfast Berry & Yogurt Parfait w/ Granola,376657,1,early
Alpino Wrap,372435,1,early
Italian Anti-Pasta Salad,203222,1,early
Alpino Wrap,376416,1,early
Today's Vegetarian Lunch Entrée,119449,1,early
Cosmo Entree 1,108748,1,early
