,yes,,,,,,,indifferent,,,,,,,
carnivore+vegetarian,,sometimes,,,yes,under,,indifferent,always,always,,,always,,
carnivore+vegetarian,,always,,,yes,under,10,yes,sometimes,,,,always,always,
vegan+vegetarian,,,sometimes,,yes,fine,5,yes,always,always,,,,always,
vegan+vegetarian,,sometimes,sometimes,sometimes,no,fine,,yes,sometimes,,,,sometimes,sometimes,always
carnivore+vegetarian,,never,always,sometimes,yes,fine,7,yes,sometimes,sometimes,never,never,never,never,always
vegetarian+carnivore+vegetarian,,sometimes,sometimes,always,,fine,7,yes,sometimes,always,sometimes,never,sometimes,sometimes,sometimes
vegetarian,,always,,,no,fine,8,yes,sometimes,sometimes,never,,sometimes,sometimes,sometimes
carnivore+vegetarian,,,sometimes,,no,fine,9,yes,sometimes,sometimes,never,sometimes,never,never,sometimes
carnivore+vegetarian,,never,never,sometimes,no,fine,6,yes,never,sometimes,never,sometimes,never,never,never
vegetarian+carnivore+vegetarian,,,sometimes,sometimes,no,,,yes,sometimes,,,sometimes,,,
carnivore+vegetarian,yes,never,never,sometimes,,,7,yes,never,always,sometimes,always,always,always,sometimes
carnivore+vegetarian,no,,sometimes,,yes,fine,7,yes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes
vegan,,sometimes,always,sometimes,no,under,8,yes,always,sometimes,never,always,sometimes,sometimes,sometimes
carnivore+vegetarian,,never,sometimes,never,yes,fine,8,yes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes
vegan+vegetarian,,never,sometimes,never,yes,under,10,yes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes
carnivore,,sometimes,sometimes,sometimes,no,under,10,yes,sometimes,sometimes,sometimes,always,always,always,always
carnivore,,,sometimes,,no,over,6,yes,sometimes,sometimes,never,sometimes,sometimes,sometimes,sometimes
vegan+vegetarian,no,,sometimes,,yes,under,7,yes,always,,,,,always,
vegan+vegetarian,,never,sometimes,never,no,fine,7,yes,sometimes,never,never,never,never,never,never
carnivore+vegetarian,no,,sometimes,,no,under,7,yes,sometimes,sometimes,,sometimes,,,
carnivore,no,never,sometimes,sometimes,no,under,6,yes,sometimes,always,never,sometimes,never,never,never
vegan,,never,sometimes,never,,,7,yes,always,always,,,always,always,
,,never,sometimes,sometimes,yes,under,10,yes,sometimes,sometimes,never,sometimes,never,never,sometimes
carnivore+carnivore+vegetarian,,never,sometimes,sometimes,yes,under,5,yes,sometimes,never,never,sometimes,never,never,never
carnivore+vegetarian,,,always,always,yes,fine,5,yes,sometimes,always,sometimes,sometimes,never,never,sometimes
vegan+carnivore,no,sometimes,always,sometimes,,fine,7,yes,always,always,sometimes,always,sometimes,sometimes,never
carnivore+vegetarian,no,never,never,never,yes,fine,5,yes,sometimes,,sometimes,,,,sometimes
carnivore+vegetarian,,always,always,sometimes,no,fine,9,yes,sometimes,sometimes,never,sometimes,sometimes,sometimes,never
carnivore+vegetarian,,never,always,sometimes,no,under,7,yes,always,sometimes,never,sometimes,sometimes,sometimes,never
carnivore+vegetarian,,never,never,sometimes,yes,,6,indifferent,sometimes,sometimes,never,sometimes,never,never,sometimes
carnivore+vegetarian,yes,never,sometimes,sometimes,yes,under,5,yes,,,,,,,
carnivore+vegetarian,,never,never,never,,,8,indifferent,,,,,,,
carnivore+vegetarian,,never,sometimes,never,,fine,10,indifferent,sometimes,never,sometimes,sometimes,always,always,always
carnivore+vegetarian,,always,always,sometimes,yes,under,9,yes,sometimes,sometimes,sometimes,always,sometimes,sometimes,sometimes
carnivore+vegetarian,,sometimes,never,sometimes,yes,under,10,yes,sometimes,sometimes,sometimes,always,always,never,always
carnivore+vegetarian,,never,sometimes,sometimes,no,,,yes,never,sometimes,never,never,never,never,never
carnivore+vegetarian,,never,sometimes,never,no,under,6,yes,always,never,never,never,never,never,never
carnivore+vegetarian,,never,always,sometimes,no,under,9,yes,sometimes,sometimes,sometimes,always,always,sometimes,sometimes
vegetarian,,never,,,no,under,7,yes,always,never,never,sometimes,never,never,never
carnivore+vegetarian,no,never,never,never,,under,8,indifferent,,,,,,,
carnivore+vegetarian,,never,never,never,,,10,indifferent,never,never,never,never,never,never,never
vegetarian,,,sometimes,,no,fine,5,yes,sometimes,sometimes,,sometimes,,sometimes,
,no,,sometimes,always,yes,under,12,yes,always,sometimes,sometimes,always,sometimes,sometimes,sometimes
vegetarian,,never,sometimes,sometimes,no,over,5,yes,sometimes,sometimes,never,never,never,never,never
carnivore+vegetarian,no,,sometimes,sometimes,no,under,8,yes,sometimes,,sometimes,sometimes,sometimes,,sometimes
carnivore+vegetarian,no,sometimes,sometimes,never,no,under,8,yes,never,sometimes,always,always,always,never,sometimes
vegetarian,,,sometimes,sometimes,,,,yes,never,never,never,never,never,never,never
carnivore+vegetarian,no,never,sometimes,never,no,fine,,yes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes
carnivore,,never,always,never,yes,fine,,yes,sometimes,never,never,always,,sometimes,never
vegetarian,yes,sometimes,always,,no,,15,yes,always,never,never,never,sometimes,sometimes,sometimes
vegetarian,,never,sometimes,never,yes,under,7,yes,sometimes,sometimes,sometimes,never,sometimes,sometimes,never
carnivore+vegetarian,,never,never,never,,under,10,yes,sometimes,sometimes,,always,sometimes,sometimes,sometimes
carnivore+vegetarian,,never,always,sometimes,yes,,6,yes,sometimes,sometimes,never,never,never,never,sometimes
carnivore,,never,never,sometimes,no,under,8,yes,sometimes,never,never,sometimes,never,never,never
,,,sometimes,,yes,under,8,yes,,,,always,,,
carnivore+vegetarian,,never,sometimes,never,no,under,6,yes,sometimes,sometimes,never,never,never,never,never
vegetarian,,sometimes,always,never,no,fine,8,yes,sometimes,never,never,sometimes,sometimes,sometimes,sometimes
carnivore,,always,,sometimes,no,under,7,yes,always,never,never,never,never,never,never
carnivore,,never,always,sometimes,no,under,10,yes,always,never,never,sometimes,never,always,sometimes
carnivore+vegetarian,,,always,sometimes,no,fine,7,yes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,always
vegan,,sometimes,always,sometimes,no,,8,yes,,,,,,,
carnivore,,never,sometimes,never,no,over,,yes,always,always,always,always,always,always,always
vegan+vegetarian,,never,sometimes,always,,,10,no,always,sometimes,sometimes,never,never,never,sometimes
vegan+vegetarian,,always,always,,no,fine,12,yes,never,never,sometimes,sometimes,sometimes,always,sometimes
